Done,Section,Phase,Step,Task,Value,Ad group,Notes
FALSE,Setup,Pre-launch,1,Confirm Stripe secplus-portal-10d live at $9.99,,SEC+_Wedge_PBQ,
FALSE,Setup,Pre-launch,2,Confirm Stripe secplus-portal-30d live at $19.99,,SEC+_Wedge_PBQ,
FALSE,Setup,Pre-launch,3,Test checkout from pbq-practice-browser.html pricing cards desktop + mobile,,SEC+_Wedge_PBQ,Both $9.99 and $19.99 buttons
FALSE,Setup,Pre-launch,4,Confirm GA4 begin_checkout fires for secplus_portal_10d and secplus_portal_30d,,SEC+_Wedge_PBQ,
FALSE,Setup,Pre-launch,5,Import GA4 begin_checkout as Primary conversion in Google Ads,,Campaign,
FALSE,Setup,Pre-launch,6,Pause secplus_pbq_wedge in old Security+ combined campaign if enabled,,Campaign,Avoid competing against yourself
FALSE,Setup,Pre-launch,7,Confirm wedge landing live,https://becertifiedtoday.com/secplus/pbq-practice-browser.html,Campaign,Pricing + FAQ + free dark web PBQ CTA
FALSE,Setup,Pre-launch,8,Complete free dark web PBQ sample on phone + desktop,,SEC+_Wedge_PBQ,/secplus-sample?track=sim-dark-web
FALSE,Setup,Keyword Planner,1,Export US Keyword Planner for wedge themes,,Campaign,Verify volumes before launch — see setup guide
FALSE,Setup,Keyword Planner,2,Confirm or adjust exact keywords,,SEC+_Wedge_PBQ,Rows marked Verify in Planner
FALSE,Setup,Keyword Planner,3,Confirm or adjust phrase keywords,,SEC+_Wedge_PBQ,Add Planner winners as new rows
FALSE,Setup,Keyword Planner,4,Negate low-intent terms from Planner,,Campaign,e.g. course bootcamp jobs
FALSE,Setup,Campaign,1,Create Search campaign,SEC+_Wedge_PBQ,Campaign,
FALSE,Setup,Campaign,2,Set daily budget,$8.00/day,Campaign,Wedge-only budget; scale to $12-15 after CPA baseline
FALSE,Setup,Campaign,3,Turn off Search partners,Off until baseline,Campaign,
FALSE,Setup,Campaign,4,Turn off Display Network,Off,Campaign,Search only
FALSE,Setup,Campaign,5,Set bidding — weeks 1-2,Maximize clicks max CPC $3.50,Campaign,Switch to Maximize conversions after 15-20 checkouts
FALSE,Setup,Campaign,6,Set utm_campaign on all ads,secplus_wedge_pbq,Campaign,Must match site attribution registry
FALSE,Setup,Campaign,7,Set campaign language,English,Campaign,
FALSE,Setup,Campaign,8,Disable AI Max / final URL expansion,Off,Campaign,Preserves landing + UTM message match
FALSE,Setup,Locations,1,Location option,Presence: people in or regularly in targeted locations,Campaign,Not interest-based
FALSE,Setup,Locations,2,Add launch countries (4),United States · Canada · United Kingdom · Australia,Campaign,Expand Tier A after US CPA acceptable
FALSE,Setup,Locations,3,Optional later — Tier A remainder,See scripts/secplus-portal-10d-google-ads.md Tier A,Campaign,After week 2 if US converts
FALSE,Setup,Ad group,1,Create ad group,SEC+_Wedge_PBQ,SEC+_Wedge_PBQ,Single wedge ad group — browser PBQ practice
FALSE,Setup,Ad group,2,Set display path,Security+ / PBQ-Practice,SEC+_Wedge_PBQ,
