Date,Action,Keyword,Match,Why,Google Ads,Admin day,Tracker note
2026-06-25,remove positive,"comptia security+ practice questions",Phrase,High CPC ($9.88/5 clk) · course/exam shopper · not last-mile prep,pending paste,D3,Pause in Google Ads · now campaign negative
2026-06-25,remove positive,"sy0-701 practice questions",Phrase,Same generic questions bucket · wrong intent vs PBQ/sim,pending paste,D3,Pause in Google Ads · now campaign negative
2026-06-25,remove positive,"security+ practice questions",Phrase,23 impr D1 · generic exam intent · keep PBQ/timed only,pending paste,D3,Pause in Google Ads · now campaign negative
2026-06-25,add neg campaign,"comptia security+ practice questions",Phrase,Block re-entry after positive removed,pending,D3,
2026-06-25,add neg campaign,"sy0-701 practice questions",Phrase,Block generic questions traffic,pending,D3,
2026-06-25,add neg campaign,"security+ practice questions",Phrase,Block generic questions traffic,pending,D3,
2026-06-25,add neg campaign,"comptia security+ practice test",Phrase,High impr search term · course-vendor CPC war,pending,D3,
2026-06-25,add neg campaign,"sec+ practice test",Phrase,Generic practice test seekers,pending,D3,
2026-06-25,add neg campaign,"comptia sec+ practice test",Phrase,Generic practice test seekers,pending,D3,
2026-06-25,add neg campaign,"comptia security+ practice exam",Phrase,Paid click $1.78 · exam bundle intent,pending,D3,
2026-06-25,add neg campaign,"comptia sec+ practice exam",Phrase,Paid click $2.41 · exam bundle intent,pending,D3,
2026-06-25,add neg campaign,[security+ practice exam],Exact,Generic exam query · keep positive practice exam simulation,pending,D3,Exact only — do not block simulation phrase
2026-06-25,add neg campaign,"exam questions and answers",Phrase,PDF/dump click sy0 701 exam questions,pending,D3,
2026-06-25,add neg campaign,"jason dion",Phrase,Paid click despite dion training neg,pending,D3,
2026-06-25,add neg campaign,pass4sure,Phrase,PDF dump vendor,pending,D3,
2026-06-25,add neg campaign,"sy0 701 pdf",Phrase,PDF seeker,pending,D3,
2026-06-25,keep positive,[security+ pbq practice],Exact,Core PBQ intent · $8.06/4 clk,live,D3,Top performer
2026-06-25,keep positive,[security+ timed practice test],Exact,Timed sim / last-mile · $4.19/2 clk,live,D3,
2026-06-25,keep positive,[security+ performance based questions],Exact,PBQ intent · $2.45/1 clk,live,D3,
2026-06-25,repo sync,checklist 64+59+8,,npm run sync:secplus-checklist after CSV edit,done,D3,Keyword CSV synced ✓ in admin
