discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found,bct_match_score,bct_match_slug
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,1,Which REST architectural constraint indicates that no client context should be stored on the server between requests?,1. stateless,2. uniform interface,3. cacheable,4. client-server,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.22,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,2,Which two statement describe the role of an artifact repository in a CI/CD pipeline?,1. An artifact repository allows to compare and merge changes in the source code of files involved in a build process.,2. An artifact repository is needed only for CI/CD pipeline executed on a public cloud infrastructure.,"3. An artifact repository provides traceability, search, and management of binary files.",4. An artifact repository is needed only for managing open source software.,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.18,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,3,Which product provides network controller-level management features?,1. Cisco DNA Center,2. Cisco NX-OS,3. Cisco UCS Manager,4. Cisco ISE,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.29,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,4,What are two characteristics of Bare Metal environments that are related to application deployment?,1. Provide the hypervisor to host virtual servers,2. Specifically designed for container-based workloads.,3. Provides workloads with access to hardware features,4. Suitable for legacy application that do not support virtualization,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.29,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,5,Which statement about authentication a RESTCONF API session with a router that runs Cisco IOS XE software is true?,1. OAuth must be used.,2. A token must be retrieved and the associated string must be embedded in the X-Auth-Token header.,3. Basic authentication must be used.,4. No authentication is required.,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.18,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,7,What is the outcome of executing this command?,1. Creates a local copy of a repository called “my project”,2. Creates a copy of a branch called “my project”,3. Initiates a new Git repository called “my project”,4. Creates a new branch called “my project”,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.25,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,8,Which task is performed because the test-driven development approach is being used?,1. testing existing software before developing new code,2. refactoring code that is covered by existing tests,3. writing code without committing any coding violations,4. creating test scenarios based on continuous development,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.15,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,9,Which platform has an API that be used to obtain a list of vulnerable software on user devices?,1. 1.  Cisco Umbrella,2. 2.  Cisco Firepower,3. 3.  Cisco Identity Services Engine,4. 4.,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.17,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,10,Which principle is a value from the manifesto for Agile software development?,1. 1. adhering to a plan over responding to requirements,2. 2. detailed documentation over working software,3. 3. processes and tools over teams and inter actions,4. 4.,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.18,
2026-06-27,certimaan-ccnaauto-samples,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,11,"When using the Bash shell, how it the output of the devnet command saved to a tile named “output.txt”?",1. devnet & output.txt,2. devnet > output.txt,3. devnet < output.txt,4. devnet I output.txt,,,,Tier C research — community recall; verify answer on Cisco Tier A only,2026-06-27,0.12,
