Done,Section,Phase,Step,Task,Value,Ad group,Notes
FALSE,Setup,Pre-launch,1,Confirm Stripe product ccna-portal-10d is live at $9.99,,Both,
FALSE,Setup,Pre-launch,2,Confirm Stripe product ccna-portal-30d is live at $19.99,,Both,
FALSE,Setup,Pre-launch,3,Test checkout from ccna-home.html on desktop and mobile,,Both,Verify begin_checkout in GA4 Realtime
FALSE,Setup,Pre-launch,4,Confirm GA4 begin_checkout fires for ccna_portal_10d and ccna_portal_30d,,Both,
FALSE,Setup,Pre-launch,5,Import GA4 begin_checkout as Primary conversion in Google Ads,,Campaign,
FALSE,Setup,Pre-launch,6,Pause or archive old CCNA ad groups if replacing with this campaign,,Campaign,Avoid competing against yourself
FALSE,Setup,Campaign,1,Create Search campaign,CCNA 200-301 · Exam prep · becertifiedtoday,Campaign,
FALSE,Setup,Campaign,2,Set daily budget,$25.00/day,Campaign,
FALSE,Setup,Campaign,3,Turn off Search partners,Off until baseline,Campaign,
FALSE,Setup,Campaign,4,Set bidding — weeks 1-2,Maximize clicks max CPC $3.00,Campaign,Switch to Maximize conversions after 15-20 checkouts
FALSE,Setup,Campaign,5,Set utm_campaign on all ads,ccna_portal,Campaign,
FALSE,Setup,Campaign,6,Set campaign language,English,Campaign,
FALSE,Setup,Locations,1,Location option,Presence: people in or regularly in targeted locations,Campaign,Not interest-based
FALSE,Setup,Locations,2,Add Tier A countries (16),India · US · UK · Canada · Australia · Philippines · UAE · Singapore · Nigeria · Pakistan · South Africa · Saudi Arabia · Malaysia · Ireland · Germany · Netherlands · New Zealand,Campaign,
FALSE,Setup,Locations,3,Verify Stripe checkout works for targeted non-US countries,,Campaign,Before scaling international spend
FALSE,Setup,Locations,4,Optional: add US metro bid boosts,See scripts/ccna-portal-10d-google-ads.md,Campaign,After week 2 if US converts
FALSE,Setup,Ad group 1,1,Create ad group,ccna_portal_10v1,ccna_portal_10v1,~15-20% budget (~$5/day) — test only low bid
FALSE,Setup,Ad group 1,2,Set display path,CCNA / 10-Day-Access,ccna_portal_10v1,
FALSE,Setup,Ad group 1,3,Set final URL,https://becertifiedtoday.com/ccna-home.html#purchase?utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=portal-10d,ccna_portal_10v1,
FALSE,Setup,Ad group 1,4,Add exact keyword,[ccna practice test],ccna_portal_10v1,
FALSE,Setup,Ad group 1,5,Add exact keyword,[ccna 200-301 practice test],ccna_portal_10v1,
FALSE,Setup,Ad group 1,6,Add exact keyword,[ccna mock exam],ccna_portal_10v1,
FALSE,Setup,Ad group 1,7,Add exact keyword,[ccna practice exam],ccna_portal_10v1,
FALSE,Setup,Ad group 1,8,Add exact keyword,[ccna exam simulation],ccna_portal_10v1,
FALSE,Setup,Ad group 1,9,Add exact keyword,[ccna question bank],ccna_portal_10v1,
FALSE,Setup,Ad group 1,10,Add exact keyword,[ccna 200-301 question bank],ccna_portal_10v1,
FALSE,Setup,Ad group 1,11,Add exact keyword,[cisco ccna practice test],ccna_portal_10v1,
FALSE,Setup,Ad group 1,12,Add phrase keyword,"ccna practice test online",ccna_portal_10v1,
FALSE,Setup,Ad group 1,13,Add phrase keyword,"ccna mock exam online",ccna_portal_10v1,
FALSE,Setup,Ad group 1,14,Add phrase keyword,"ccna timed practice test",ccna_portal_10v1,
FALSE,Setup,Ad group 1,15,Add phrase keyword,"ccna practice questions online",ccna_portal_10v1,
FALSE,Setup,Ad group 1,16,Add phrase keyword,"ccna 200-301 exam prep",ccna_portal_10v1,
FALSE,Setup,Ad group 1,17,Paste all 15 RSA headlines,See Headline rows below,ccna_portal_10v1,Pin rows marked Pin H1 and Pin H2
FALSE,Setup,Ad group 1,18,Paste all 4 RSA descriptions,See Description rows below,ccna_portal_10v1,
FALSE,Setup,Ad group 2,1,Create ad group,ccna_browser_labs,ccna_browser_labs,~50% budget (~$12/day) — primary wedge
FALSE,Setup,Ad group 2,2,Set display path,CCNA / Practice-Labs,ccna_browser_labs,
FALSE,Setup,Ad group 2,3,Set final URL,https://becertifiedtoday.com/ccna/labs-without-gns3.html?utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=browser-labs,ccna_browser_labs,Wedge landing — not ccna-home
FALSE,Setup,Ad group 2,4,Add exact keyword,[ccna practice labs free],ccna_browser_labs,Planner 30/mo US · Low
FALSE,Setup,Ad group 2,5,Add exact keyword,[cisco practical labs],ccna_browser_labs,Planner 30/mo US · Low
FALSE,Setup,Ad group 2,6,Add exact keyword,[ccna 200 301 practice labs],ccna_browser_labs,Planner 10/mo US · Low
FALSE,Setup,Ad group 2,7,Add exact keyword,[ccna cli lab],ccna_browser_labs,
FALSE,Setup,Ad group 2,8,Add exact keyword,[ccna lab online],ccna_browser_labs,
FALSE,Setup,Ad group 2,9,Add phrase keyword,"ccna practice labs free",ccna_browser_labs,
FALSE,Setup,Ad group 2,10,Add phrase keyword,"cisco practical labs",ccna_browser_labs,
FALSE,Setup,Ad group 2,11,Add phrase keyword,"ccna 200 301 practice labs",ccna_browser_labs,
FALSE,Setup,Ad group 2,12,Add phrase keyword,"ccna 200 301 labs",ccna_browser_labs,
FALSE,Setup,Ad group 2,13,Add phrase keyword,"ccna 200 301 exam labs",ccna_browser_labs,Planner Medium — watch CPC
FALSE,Setup,Ad group 2,14,Add phrase keyword,"cisco ccna practice labs",ccna_browser_labs,
FALSE,Setup,Ad group 2,15,Add phrase keyword,"ccna labs online",ccna_browser_labs,
FALSE,Setup,Ad group 2,16,Add phrase keyword,"ccna lab simulation",ccna_browser_labs,
FALSE,Setup,Ad group 2,17,Add phrase keyword,"ccna labs without gns3",ccna_browser_labs,
FALSE,Setup,Ad group 2,18,Add phrase keyword,"ccna labs without packet tracer",ccna_browser_labs,
FALSE,Setup,Ad group 2,19,Add phrase keyword,"ccna practice labs browser",ccna_browser_labs,
FALSE,Setup,Ad group 2,20,Add phrase keyword,"ccna vlan lab",ccna_browser_labs,
FALSE,Setup,Ad group 2,21,Add phrase keyword,"ccna topology for practice",ccna_browser_labs,Planner Medium — test
FALSE,Setup,Ad group 2,22,Add phrase keyword,"exam lab practice",ccna_browser_labs,
FALSE,Setup,Ad group 2,23,Paste all 15 RSA headlines,See Headline rows below,ccna_browser_labs,Pin rows marked Pin H1 and Pin H2
FALSE,Setup,Ad group 2,24,Paste all 4 RSA descriptions,See Description rows below,ccna_browser_labs,
FALSE,Setup,Extensions,1,Add sitelink · 10-Day Access · $9.99,https://becertifiedtoday.com/ccna-home.html#purchase?utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=portal-10d,Campaign,Desc1: Full v1.1 question bank · Desc2: $9.99 one-time no sub
FALSE,Setup,Extensions,2,Add sitelink · Free Practice Questions,https://becertifiedtoday.com/sample?track=ccna-questions&utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=sitelink-sample,Campaign,
FALSE,Setup,Extensions,3,Add sitelink · Sample Drag-and-Drop,https://becertifiedtoday.com/sample?track=ccna-dnd&utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=sitelink-dnd,Campaign,
FALSE,Setup,Extensions,4,Add sitelink · CCNA Labs No GNS3,https://becertifiedtoday.com/ccna/labs-without-gns3.html?utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=browser-labs,Campaign,Desc1: Browser CLI labs · Desc2: Free VLAN sample
FALSE,Setup,Extensions,4b,Add sitelink · Free VLAN CLI Lab,https://becertifiedtoday.com/sample?track=ccna-vlan&utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=sitelink-lab,Campaign,
FALSE,Setup,Extensions,5,Add sitelink · Latest v1.1 Questions,https://becertifiedtoday.com/ccna-home.html#home-ccna-samples-title?utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=sitelink-samples,Campaign,
FALSE,Setup,Extensions,6,Add sitelink · Timed Sim Included,https://becertifiedtoday.com/ccna-home.html#purchase?utm_source=google&utm_medium=cpc&utm_campaign=ccna_portal&utm_content=portal-10d,Campaign,
FALSE,Setup,Extensions,7,Paste Products or services (5 items),See scripts/ccna-portal-10d-google-ads.md Products table,Campaign,Optional but recommended
FALSE,Setup,Negatives,1,Campaign negative phrase,"free course",Campaign,
FALSE,Setup,Negatives,2,Campaign negative phrase,"training course",Campaign,
FALSE,Setup,Negatives,3,Campaign negative phrase,bootcamp,Campaign,
FALSE,Setup,Negatives,4,Campaign negative phrase,"instructor led",Campaign,
FALSE,Setup,Negatives,5,Campaign negative phrase,"unauthorized exam content",Campaign,
FALSE,Setup,Negatives,6,Campaign negative phrase,"exam content",Campaign,
FALSE,Setup,Negatives,7,Campaign negative phrase,"pass guarantee",Campaign,
FALSE,Setup,Negatives,8,Campaign negative phrase,"pdf download",Campaign,
FALSE,Setup,Negatives,9,Campaign negative phrase,udemy,Campaign,
FALSE,Setup,Negatives,10,Campaign negative phrase,coursera,Campaign,
FALSE,Setup,Negatives,11,Campaign negative phrase,boson,Campaign,
FALSE,Setup,Negatives,12,Campaign negative phrase,"cisco netacad",Campaign,
FALSE,Setup,Negatives,13,Campaign negative phrase,jobs,Campaign,
FALSE,Setup,Negatives,14,Campaign negative phrase,salary,Campaign,
FALSE,Setup,Negatives,15,Campaign negative phrase,"packet tracer download",Campaign,
FALSE,Setup,Negatives,16,Campaign negative phrase,"gns3 download",Campaign,
FALSE,Setup,Negatives,17,Campaign negative phrase,examtopics,Campaign,
FALSE,Setup,Negatives,18,Campaign negative phrase,"lab setup",Campaign,Home-lab / install intent
FALSE,Setup,Negatives,19,Campaign negative phrase,"exam mobile",Campaign,Unrelated to CCNA labs
FALSE,Setup,Negatives,20,Ad group negative phrase,course,Both ad groups,
FALSE,Setup,Negatives,21,Ad group negative phrase,unauthorized,Both ad groups,
FALSE,Setup,Negatives,22,Ad group negative phrase,pdf,Both ad groups,
FALSE,Setup,Negatives,23,Ad group negative phrase,jobs,Both ad groups,
FALSE,Setup,Negatives,24,Ad group negative phrase,netacad,Both ad groups,
FALSE,Setup,Launch,1,Enable both ad groups and campaign,,Campaign,
FALSE,Setup,Launch,2,Open final URL — purchase fold shows $9.99 10-day CTA,,Both,utm_content=portal-10d
FALSE,Setup,Launch,3,Click through to Stripe — confirm $9.99,,Both,
FALSE,Setup,Launch,4,Confirm GA4 begin_checkout in Realtime,,Both,
FALSE,Setup,Launch,5,Test free sample sitelinks load on mobile,,Campaign,
FALSE,Ops,Initial test (7 days),1,Status,Live — initial AdWords test,Campaign,2026-06-14 through 2026-06-21
FALSE,Ops,Initial test (7 days),2,Do not change,Budget bidding locations or RSA copy,Campaign,Collect baseline data only
FALSE,Ops,Initial test (7 days),3,Daily,Check impressions clicks spend by ad group,Both,
FALSE,Ops,Initial test (7 days),4,Daily,Check GA4 begin_checkout count,Campaign,ccna_portal_10d and ccna_portal_30d
FALSE,Ops,Initial test (7 days),5,Day 3,Search terms review — add obvious junk negatives,Campaign,
FALSE,Ops,Initial test (7 days),6,Day 7,Review CTR CPC CPA portal_10v1 vs browser_labs,Campaign,Decide scale pause or optimize
FALSE,Ops,Week 1,1,Review Search terms report,Add junk as campaign negatives,Campaign,After day-7 review; every 5-7 days
FALSE,Ops,Week 1,2,Check CTR by ad group,Target 1.5-3%+,Both,
FALSE,Ops,Week 1,3,Check avg CPC,Adjust max CPC if needed,Campaign,
FALSE,Ops,Week 1,4,Note top converting search terms,,Both,Promote to exact if not already added
FALSE,Ops,Week 2-4,1,Review CPA per ad group,Compare portal_10v1 vs browser_labs,Both,
FALSE,Ops,Week 2-4,2,Pause keywords with spend and zero checkouts,,Both,
FALSE,Ops,Week 2-4,3,Consider switch to Maximize conversions,After 15-20 begin_checkout events,Campaign,
FALSE,Ops,Week 2-4,4,Drop countries with junk terms and no conversions,,Campaign,
FALSE,Ops,Scale,1,Optional: add ad group ccna_mobile_prep,$5/day from portal_10v1 budget,Campaign,Only if search terms show mobile intent
FALSE,Ops,Scale,2,Optional: test portal-30d final URL,$19.99 / 30 days,ccna_portal_10v1,For price-vs-PDF angle
FALSE,Ops,Scale,3,Optional: add Tier B countries,See scripts/ccna-portal-10d-google-ads.md Tier B,Campaign,After stable CPA in Tier A
FALSE,Headline,ccna_portal_10v1,1,RSA headline,CCNA 200-301 · Walk In Ready,Pin H1,28 chars
FALSE,Headline,ccna_portal_10v1,2,RSA headline,$9.99 · 10-Day CCNA Bank,Pin H2,24 chars
FALSE,Headline,ccna_portal_10v1,3,RSA headline,Cisco CCNA Mock Exam,,20 chars
FALSE,Headline,ccna_portal_10v1,4,RSA headline,700+ CCNA Questions,,19 chars
FALSE,Headline,ccna_portal_10v1,5,RSA headline,v1.1 & v2.0 · Verified,,22 chars
FALSE,Headline,ccna_portal_10v1,6,RSA headline,120-Min Timed CCNA Sim,,22 chars
FALSE,Headline,ccna_portal_10v1,7,RSA headline,VLAN CLI Lab In Browser,,23 chars
FALSE,Headline,ccna_portal_10v1,8,RSA headline,Drag-Drop CCNA Items,,20 chars
