Done,Section,Phase,Step,Task,Value,Ad group,Notes
FALSE,Setup,Pre-launch,1,Confirm Stripe product secplus-portal-10d is live at $9.99,,Both,
FALSE,Setup,Pre-launch,2,Confirm Stripe product secplus-portal-30d is live at $19.99,,Both,
FALSE,Setup,Pre-launch,3,Test checkout from comptia-sec+-home.html on desktop and mobile,,Both,Verify begin_checkout in GA4 Realtime
FALSE,Setup,Pre-launch,4,Confirm GA4 begin_checkout fires for secplus_portal_10d and secplus_portal_30d,,Both,
FALSE,Setup,Pre-launch,5,Import GA4 begin_checkout as Primary conversion in Google Ads,,Campaign,
FALSE,Setup,Pre-launch,6,Load google-ads-purchase-conversion.js on comptia-sec+-home.html,,Both,
FALSE,Setup,Pre-launch,7,Verify secplus-home-conversion.js headline variants on home,,Both,Test ?utm_content=portal-10d and pbq-wedge
FALSE,Setup,Pre-launch,8,Verify wedge landing pbq-practice-browser.html loads and free PBQ sample works,,secplus_pbq_wedge,Mobile + desktop
FALSE,Setup,Campaign,1,Create Search campaign,Security+ SY0-701 · Exam prep · becertifiedtoday,Campaign,
FALSE,Setup,Campaign,2,Set daily budget,$10.00/day,Campaign,
FALSE,Setup,Campaign,3,Turn off Search partners,Off until baseline,Campaign,
FALSE,Setup,Campaign,4,Set bidding — weeks 1-2,Maximize clicks max CPC $2.75,Campaign,
FALSE,Setup,Campaign,5,Set utm_campaign on all ads,secplus_portal,Campaign,
FALSE,Setup,Campaign,6,Set campaign language,English,Campaign,
FALSE,Setup,Locations,1,Location option,Presence: people in or regularly in targeted locations,Campaign,
FALSE,Setup,Locations,2,Add Tier A countries,See scripts/secplus-portal-10d-google-ads.md,Campaign,Federal US metros optional
FALSE,Setup,Ad group 1,1,Create ad group,secplus_portal_10d,secplus_portal_10d,~70% budget (~$7/day) — launch first
FALSE,Setup,Ad group 1,2,Set display path,Security+ / 10-Day-Access,secplus_portal_10d,
FALSE,Setup,Ad group 1,3,Set final URL,https://becertifiedtoday.com/comptia-sec+-home.html#purchase?utm_source=google&utm_medium=cpc&utm_campaign=secplus_portal&utm_content=portal-10d,secplus_portal_10d,
FALSE,Setup,Ad group 1,4,Add exact keyword,[security+ question bank],secplus_portal_10d,
FALSE,Setup,Ad group 1,5,Add exact keyword,[sy0-701 question bank],secplus_portal_10d,
FALSE,Setup,Ad group 1,6,Add phrase keyword,"security+ exam prep online",secplus_portal_10d,
FALSE,Setup,Ad group 1,7,Add phrase keyword,"security+ practice test online",secplus_portal_10d,
FALSE,Setup,Ad group 1,8,Add phrase keyword,"sy0-701 prep",secplus_portal_10d,
FALSE,Setup,Ad group 1,9,Add phrase keyword,"comptia security+ question bank",secplus_portal_10d,
FALSE,Setup,Ad group 1,10,Add phrase keyword,"security+ practice portal",secplus_portal_10d,
FALSE,Setup,Ad group 1,11,Add phrase keyword,"security+ study prep online",secplus_portal_10d,
FALSE,Setup,Ad group 1,12,Paste all 15 RSA headlines,See Headline rows below,secplus_portal_10d,Pin H1 and H2
FALSE,Setup,Ad group 1,13,Paste all 4 RSA descriptions,See Description rows below,secplus_portal_10d,
FALSE,Setup,Ad group 2,1,Create ad group,secplus_pbq_wedge,secplus_pbq_wedge,~30% budget — enable after wedge landing verified
FALSE,Setup,Ad group 2,2,Set display path,Security+ / PBQ-Practice,secplus_pbq_wedge,
FALSE,Setup,Ad group 2,3,Set final URL,https://becertifiedtoday.com/secplus/pbq-practice-browser.html?utm_source=google&utm_medium=cpc&utm_campaign=secplus_portal&utm_content=pbq-wedge,secplus_pbq_wedge,Wedge landing
FALSE,Setup,Ad group 2,4,Add exact keyword,[security+ pbq practice],secplus_pbq_wedge,
FALSE,Setup,Ad group 2,5,Add exact keyword,[sy0-701 pbq],secplus_pbq_wedge,
FALSE,Setup,Ad group 2,6,Add phrase keyword,"security+ performance based questions",secplus_pbq_wedge,
FALSE,Setup,Ad group 2,7,Add phrase keyword,"security+ pbq practice online",secplus_pbq_wedge,
FALSE,Setup,Ad group 2,8,Add phrase keyword,"comptia security+ pbq",secplus_pbq_wedge,
FALSE,Setup,Ad group 2,9,Add phrase keyword,"sy0-701 performance based",secplus_pbq_wedge,
FALSE,Setup,Ad group 2,10,Paste RSA headlines,See Headline rows below,secplus_pbq_wedge,Pin H1 Security+ PBQ Practice
FALSE,Setup,Ad group 2,11,Paste RSA descriptions,See Description rows below,secplus_pbq_wedge,
FALSE,Headline,secplus_portal_10d,1,Security+ Practice Test,Security+ Practice Test,secplus_portal_10d,Pin H1 · 24 chars
