id,brand,domain,ccna_200_301_url,category,primary_deliverable,claimed_labs_sim,claimed_last_update,free_tier,interactive_in_browser,browser_only,signup_required,pbq_poll_enabled,site_note,bct_positioning_angle,research_date,notes
1,Crucial Exams,crucialexams.com,https://crucialexams.com/exams/cisco/ccna/200-301/practice-tests-practice-questions,practice_test_vendor,7 PBQ mini-games + MCQ bank,7 PBQ previews,2026,Read-only preview,Yes,Yes,Partial,Yes,[[../../10-competitors/sites/crucial-exams-ccna|crucial-exams-ccna]],"Browser CLI labs + D&D on landing; full PBQ in portal",2026-06-06,"Routing match · ACL types · subnet/CIDR · OSI layers"
2,HowToNetwork,howtonetwork.com,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,training_vendor_blog,H5P walkthrough (D&D + matching),103 Q mixed,2026,Full walkthrough free,Yes,Yes,No,Yes,[[../../10-competitors/sites/howtonetwork-ccna|howtonetwork-ccna]],"Free assessment + scorecard vs single walkthrough",2026-06-06,"IPv6 match · STP · OSPF · syslog drag · cloud types"
3,9tut,9tut.com,https://www.9tut.com/ccna-testing-engine,practice_test_vendor,Premium D&D + lab sim engine,600+ premium MCQ,2026,Engine paid,Partial,Yes,No,Yes,[[../../10-competitors/sites/9tut|9tut]],"BCT CLI + D&D samples; interaction intel from engine copy",2026-06-06,"Free quizzes + Packet Tracer labs on tutorials page"
4,9tut labs,9tut.com,https://www.9tut.com/ccna-tutorials-practice-labs-lab-challenges,practice_test_vendor,Packet Tracer / GNS3 lab challenges,32+ labs stated,2026,Free lab pages,Yes (download),Partial,No,No,[[../../10-competitors/sites/9tut|9tut]],"In-browser VLAN CLI vs PT download",2026-06-06,"Troubleshooting + config lab challenges"
5,OpenExamPrep,open-exam-prep.com,https://open-exam-prep.com/practice/ccna,free_practice_platform,Scan for D&D / sim copy on MCQ page,200+ MCQ,2026-06-06,Full bank free,Unknown,Yes,No,Yes,[[../../10-competitors/sites/open-exam-prep-ccna|open-exam-prep-ccna]],"Page cites drag-drop + sim on real exam",2026-06-06,"generic_pbq landing scan"
6,Mastery Exam Prep,masteryexamprep.com,https://masteryexamprep.com/exams/cisco/ccna/,practice_test_vendor,Scan landing for PBQ copy,24 samples,2026,Samples on page,Unknown,Yes,Partial,Yes,[[../../10-competitors/sites/mastery-exam-prep-ccna|mastery-exam-prep-ccna]],"IT Mastery paid sim behind samples",2026-06-06,"generic_pbq landing scan"
7,ExamTopics,examtopics.com,https://www.examtopics.com/exams/cisco/200-301/,community_braindump,Drag-drop recall threads,1395+ MCQ index,2026-06-06,Free with limits,Partial,Yes,No,Yes,[[../../10-competitors/sites/examtopics-ccna|examtopics-ccna]],"No recall positioning; Cisco-verified builds",2026-06-06,"D&D items in community index — Tier C"
8,ExamCollection,examcollection.com,https://www.examcollection.com/200-301-dumps.html,syndicated_marketplace,VCE sim / drag-drop claims,719+ syndicated,2026-05-19,Sample on page,No (VCE),No,No,Yes,[[../../10-competitors/sites/examcollection-ccna|examcollection-ccna]],"Browser-only; no VCE",2026-06-06,"Tier C catalog signals"
9,Exam-Labs,exam-labs.com,https://www.exam-labs.com/dumps/200-301,syndicated_marketplace,VCE Virtual CertExam sim,719 premium,2026-05-19,20 sample Q,No (VCE),No,No,Yes,[[../../10-competitors/sites/exam-labs-ccna|exam-labs-ccna]],"Browser CLI labs vs desktop VCE",2026-06-06,"Tier C"
10,PrepAway,prepaway.com,https://www.prepaway.com/ccna-certification-exams.html,syndicated_marketplace,ETE sim claims,719+ syndicated,2026-05-19,Limited free,No (ETE),No,No,Yes,[[../../10-competitors/sites/prepaway-ccna|prepaway-ccna]],"Full portal sim vs dump marketplace",2026-06-06,"Tier C"
11,Boson ExSim,boson.com,https://www.boson.com/ccna-200-301,paid_simulator,Full exam simulation,Full timed exam,200-301,Paid,Yes,Desktop,No,No,—,"BCT browser timed sim + CLI at lower price",2026-06-06,"Gold-standard sim competitor — manual reference"
12,Packet Tracer,netacad.com,https://www.netacad.com/courses/packet-tracer,official_lab,Downloadable topology labs,Rolling,2026,Free,Yes (app),No,Partial,No,—,"BCT in-browser CLI without PT install",2026-06-06,"Cisco official hands-on"
13,Cisco Learning Network,learningnetwork.cisco.com,https://learningnetwork.cisco.com/s/ccna,community,Lab discussion threads,Rolling,2026,Community,Partial,Yes,No,No,—,"Objective-mapped portal labs",2026-06-06,"Tier A adjacent — not auto-poll"
