Campaign,Ad group,Rank,Keyword,Match type,Level,Status,Notes
Paint Reproductions · US Search,Brand,1,(paint reproductions),Exact,positive,planned,
Paint Reproductions · US Search,Brand,2,"""paint reproductions""",Phrase,positive,planned,
Paint Reproductions · US Search,Brand,3,paint reproductions,Broad,positive,planned,
Paint Reproductions · US Search,Brand,4,(paintreproductions),Exact,positive,planned,
Paint Reproductions · US Search,Brand,5,"""paintreproductions""",Phrase,positive,planned,
Paint Reproductions · US Search,Brand,6,paintreproductions,Broad,positive,planned,
Paint Reproductions · US Search,Brand,7,(paintreproductions.com),Exact,positive,planned,
Paint Reproductions · US Search,Brand,8,"""paintreproductions.com""",Phrase,positive,planned,
Paint Reproductions · US Search,Brand,9,paintreproductions.com,Broad,positive,planned,
Paint Reproductions · US Search,Brand,10,(george werbacher painting),Exact,positive,planned,
Paint Reproductions · US Search,Brand,11,"""george werbacher painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Brand,12,george werbacher painting,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,13,(master copy oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,14,"""master copy oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,15,master copy oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,16,(oil painting reproduction),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,17,"""oil painting reproduction""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,18,oil painting reproduction,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,19,(copying old masters),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,20,"""copying old masters""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,21,copying old masters,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,22,(master study oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,23,"""master study oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,24,master study oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,25,(historical painting reproduction),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,26,"""historical painting reproduction""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,27,historical painting reproduction,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,28,(artwork reproductions),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,29,"""artwork reproductions""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,30,artwork reproductions,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,31,(classic reproduction painting),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,32,"""classic reproduction painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,33,classic reproduction painting,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,34,(artistic reproduction),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,35,"""artistic reproduction""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,36,artistic reproduction,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,37,(copying masters painting),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,38,"""copying masters painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,39,copying masters painting,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,40,(old master painting reproduction),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,41,"""old master painting reproduction""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,42,old master painting reproduction,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,43,(how to do a master copy painting),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,44,"""how to do a master copy painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,45,how to do a master copy painting,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,46,(master copy painting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,47,"""master copy painting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,48,master copy painting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,49,(reproduce a famous painting),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,50,"""reproduce a famous painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,51,reproduce a famous painting,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,52,(old master painting secrets),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,53,"""old master painting secrets""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,54,old master painting secrets,Broad,positive,planned,
Paint Reproductions · US Search,Core Master Copy,55,(masters painting techniques),Exact,positive,planned,
Paint Reproductions · US Search,Core Master Copy,56,"""masters painting techniques""",Phrase,positive,planned,
Paint Reproductions · US Search,Core Master Copy,57,masters painting techniques,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,58,(oil painting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,59,"""oil painting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,60,oil painting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,61,(oil painting techniques),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,62,"""oil painting techniques""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,63,oil painting techniques,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,64,(how to paint in oils),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,65,"""how to paint in oils""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,66,how to paint in oils,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,67,(classic oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,68,"""classic oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,69,classic oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,70,(professional oil painting techniques),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,71,"""professional oil painting techniques""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,72,professional oil painting techniques,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,73,(classical oil painting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,74,"""classical oil painting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,75,classical oil painting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,76,(classical realism oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,77,"""classical realism oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,78,classical realism oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,79,(fine art painting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,80,"""fine art painting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,81,fine art painting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,82,(professional art tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,83,"""professional art tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,84,professional art tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,85,(painting masterclass),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,86,"""painting masterclass""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,87,painting masterclass,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,88,(oil painting tutorial step by step),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,89,"""oil painting tutorial step by step""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,90,oil painting tutorial step by step,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,91,(oil painting techniques explained),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,92,"""oil painting techniques explained""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,93,oil painting techniques explained,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,94,(step by step oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,95,"""step by step oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,96,step by step oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,97,(step-by-step painting guide),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,98,"""step-by-step painting guide""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,99,step-by-step painting guide,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,100,(oil painting process and techniques),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,101,"""oil painting process and techniques""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,102,oil painting process and techniques,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,103,(classic oil painting methods),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,104,"""classic oil painting methods""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,105,classic oil painting methods,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,106,(pro painting techniques),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,107,"""pro painting techniques""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,108,pro painting techniques,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,109,(art techniques for professionals),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,110,"""art techniques for professionals""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,111,art techniques for professionals,Broad,positive,planned,
Paint Reproductions · US Search,Oil Painting General,112,(brushwork techniques in oil painting),Exact,positive,planned,
Paint Reproductions · US Search,Oil Painting General,113,"""brushwork techniques in oil painting""",Phrase,positive,planned,
Paint Reproductions · US Search,Oil Painting General,114,brushwork techniques in oil painting,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,115,(free oil painting lessons),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,116,"""free oil painting lessons""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,117,free oil painting lessons,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,118,(free online art classes),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,119,"""free online art classes""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,120,free online art classes,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,121,(oil painting online classes),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,122,"""oil painting online classes""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,123,oil painting online classes,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,124,(oil painting classes),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,125,"""oil painting classes""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,126,oil painting classes,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,127,(oil painting lessons),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,128,"""oil painting lessons""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,129,oil painting lessons,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,130,(art lessons online),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,131,"""art lessons online""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,132,art lessons online,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,133,(painting tutorial),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,134,"""painting tutorial""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,135,painting tutorial,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,136,(step by step art lesson),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,137,"""step by step art lesson""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,138,step by step art lesson,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,139,(art tutorial for beginners),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,140,"""art tutorial for beginners""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,141,art tutorial for beginners,Broad,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,142,(oil painting techniques for beginners),Exact,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,143,"""oil painting techniques for beginners""",Phrase,positive,planned,
Paint Reproductions · US Search,Free / Online Learning,144,oil painting techniques for beginners,Broad,positive,planned,
