Date,Day,Account spend USD,Sec+ spend USD,CCNA wedge USD,Other campaigns USD,Taxes and fees USD,Clicks,Account cumulative USD,Cumulative type,Remaining to $500,Remaining to $510,Planned budget per day,Plan at 60/day (from Jun 26),Promo milestone,Notes
2026-05-21,Pre-launch,3.18,,,3.18,,3,3.18,actual,496.82,506.82,,,,
2026-05-22,Pre-launch,,0.00,,,,,3.18,actual,496.82,506.82,,,,
2026-05-23,Pre-launch,1.24,,,1.24,,1,4.42,actual,495.58,505.58,,,,
2026-05-24,Pre-launch,,0.00,,,,,4.42,actual,495.58,505.58,,,,
2026-05-25,Pre-launch,4.89,,,4.89,,4,9.31,actual,490.69,500.69,,,,
2026-05-26,Pre-launch,,0.00,,,,,9.31,actual,490.69,500.69,,,,
2026-05-27,Pre-launch,,0.00,,,,,9.31,actual,490.69,500.69,,,,
2026-05-28,Pre-launch,,0.00,,,,,9.31,actual,490.69,500.69,,,,
2026-05-29,Pre-launch,0.46,,,0.46,,1,9.77,actual,490.23,500.23,,,,
2026-05-30,Pre-launch,3.76,,,3.76,,7,13.53,actual,486.47,496.47,,,,
2026-05-31,Pre-launch,1.88,,,1.88,0.04,10,15.41,actual,484.59,494.59,,,,
2026-06-01,Pre-launch,9.36,3.24,6.12,,,7,24.77,actual,475.23,485.23,,,,
2026-06-02,Pre-launch,28.82,27.62,1.20,,,15,53.59,actual,446.41,456.41,,,,
2026-06-03,Pre-launch,11.81,11.81,,,,6,65.40,actual,434.60,444.60,,,,
2026-06-04,Pre-launch,10.47,10.47,,,,7,75.87,actual,424.13,434.13,,,,
2026-06-05,Pre-launch,10.62,10.62,,,,8,86.49,actual,413.51,423.51,,,,
2026-06-06,Pre-launch,18.46,,18.46,,,23,104.95,actual,395.05,405.05,,,,
2026-06-07,Pre-launch,,0.00,,,,,104.95,actual,395.05,405.05,,,,
2026-06-08,Pre-launch,10.55,10.55,,,,5,115.50,actual,384.50,394.50,,,,
2026-06-09,Pre-launch,15.20,15.20,,,,7,130.70,actual,369.30,379.30,,,,
2026-06-10,Pre-launch,16.92,16.92,,,,9,147.62,actual,352.38,362.38,,,,
2026-06-11,Pre-launch,10.17,,10.17,,,14,157.79,actual,342.21,352.21,,,,
2026-06-12,Pre-launch,3.09,,3.09,,,7,160.88,actual,339.12,349.12,,,,
2026-06-13,Pre-launch,,0.00,,,,,160.88,actual,339.12,349.12,,,,
2026-06-14,Pre-launch,,0.00,,,,,160.88,actual,339.12,349.12,,,,
2026-06-15,Pre-launch,4.81,,4.81,,,2,165.69,actual,334.31,344.31,,,,
2026-06-16,Pre-launch,34.00,6.65,27.35,,,13,199.69,actual,300.31,310.31,,,,
2026-06-17,Pre-launch,15.19,,15.19,,,6,214.88,actual,285.12,295.12,,,,
