Hour,Clicks,Avg. CPC,Cost,Conversions
12 AM - 1 AM,1,$1.79,$1.79,0.00
1 AM - 2 AM,0,$0.00,$0.00,0.00
2 AM - 3 AM,0,$0.00,$0.00,0.00
3 AM - 4 AM,0,$0.00,$0.00,0.00
4 AM - 5 AM,0,$0.00,$0.00,0.00
5 AM - 6 AM,0,$0.00,$0.00,0.00
6 AM - 7 AM,1,$2.31,$2.31,0.00
7 AM - 8 AM,1,$1.80,$1.80,0.00
8 AM - 9 AM,1,$1.47,$1.47,0.00
9 AM - 10 AM,1,$2.37,$2.37,0.00
10 AM - 11 AM,3,$2.44,$7.32,0.00
11 AM - 12 PM,0,$0.00,$0.00,0.00
12 PM - 1 PM,1,$1.73,$1.73,0.00
1 PM - 2 PM,0,$0.00,$0.00,0.00
2 PM - 3 PM,0,$0.00,$0.00,0.00
3 PM - 4 PM,1,$2.25,$2.25,0.00
4 PM - 5 PM,2,$1.77,$3.54,0.00
5 PM - 6 PM,0,$0.00,$0.00,0.00
6 PM - 7 PM,0,$0.00,$0.00,0.00
7 PM - 8 PM,0,$0.00,$0.00,0.00
8 PM - 9 PM,0,$0.00,$0.00,0.00
9 PM - 10 PM,0,$0.00,$0.00,0.00
10 PM - 11 PM,0,$0.00,$0.00,0.00
11 PM - 12 AM,0,$0.00,$0.00,0.00
